number,question,A,B,C,D,E,answer_letter,answer_index
53,"Kişisel veriler, ilgili kişinin açık rızası olmadan işlenemez. Yalnızca Kişisel Verilerin Korunması Kanunu'nun öngördüğü istisnai hallerde açık rıza şartı aranmaz. Aşağıdakilerden hangisi istisnai haller kapsamında yer almaz?","Bankanın, iş kanunu kapsamında personele ilişkin özlük dosyasını oluştururken kimlik bilgilerini dosyada bulundurması",Şube içerisinde birinci kapalı bir kişiye sağlık ekiplerinin müdahale edebilmesi amacıyla kimlik bilgilerinin görevlilere verilmesi,"Kişinin, iş ortağına müteselsil kefalet verdiği durumlarda, mali durumunun değerlendirilebilmesi amacıyla maaş ve mal varlığı bilgilerine ilişkin kişisel verilerinin işlenmesi.","Bankanın, gecikmiş borcu bulunan müşteriye ulaşabilmek amacıyla, BTK lisanslı rehberlik hizmeti sağlayıcılarından temin ettiği telefon numarasının kullanılması","Kişinin, Bankamız tarafından sunulan araç kiralama indirimlerinden yararlanabilmesi amacıyla iletişim bilgilerinin işlenmesi",E,4
54,"Mevduat ve katılım fonu sigortası ile ilgili yukarıdakilerden hangisi/hangileri doğrudur?
I. 2025 yılı için sigortaya tabi mevduat ve katılım fonu limiti her bir kredi kuruluşunda her bir kişi için 950.000 Türk Lirası'dır. II. Türkiye'de faaliyet gösteren kredi kuruluşlarının yurt içi şubelerindeki resmi kuruluşlar, kredi kuruluşları ve finansal kuruluşlara ait olanlar haricindeki mevduat ve katılım fonları (tasarruf mevduatı, ticari kuruluşlar mevduatı ve diğer kuruluşlar mevduatı) sigorta kapsamındadır. III. Bir kişinin hem mevduat hem de katılım bankasında bulunan hesaplarına ilişkin sigorta tutarı her bir kredi kuruluşu için ayrı ayrı hesaplanır. IV. Kredi kuruluşları tarafından satışına aracılık edilen devlet tahvili, hazine bonosu, yatırım fonu gibi yatırım araçları ile kripto varlıklar Tasarruf Mevduatı Sigorta Fonu tarafından sigorta edilmemektedir.",Yalnız I,I ve II,II ve III,III ve IV,"I, II ve IV",D,3
55,"İGE YP İhracat Kredi Paketi ile ilgili aşağıdakilerden hangisi doğrudur?
I. Kredinin azami limiti KOBİ'ler için 30 Milyon TL (Karşılığı YP)'dir. II. Kredi faiz oranı USD için 9,50%, EURO için 8,50%'dir. III. Kefalet başvurusu için başvuru ücreti 6.000 TL'dir.",Yalnız I,I ve II,Yalnız II,II ve III,"I, II ve III",A,0
56,Vadeli Döviz Alım Satım işlemleri ile ilgili aşağıdaki bilgilerden hangisi yanlıştır?,Tüzel ve Gerçek müşterilerde TL ve YP işlemlerde limit tahsisi veya nakit blokajı alınarak işlem yapılabilir.,"Vadeli döviz alım-satım işlemi, kredi limiti kullanılarak gerçekleştirilen işlemlerde tahsis edilen döviz kredisi üzerinden limit blokajı yapılması, nakit blokajlı işlemlerde ise vadeli veya vadesiz mevduatına bloke konulması suretiyle gerçekleştirilebilir.",Vadeli Döviz alım-satım işlemlerinin gerçekleştirilebilmesi için gerçek kişi ve şahıs firmalarına sermaye piyasası araçları kapsamında ürün ya da hizmetin müşteriye uygun olup olmadığının ve müşterilerin söz konusu ürün veya hizmetin taşıdığı riskleri anlayabilecek bilgi ve tecrübeye sahip olup olmadıklarının değerlendirilmesi amacıyla uygunluk testi yapılması gerekmektedir.,Müşterilerimizin vadeli alım-satım hesaplarının pozisyon güncellenmesi sonucunda oluşan zararın kullanılabilir kredi limitinden fazla olması durumunda ilgili Başkanlık tarafından teminat istenebilecektir.,Müşterinin herhangi bir şekilde ödeme güçlüğüne düşmesi veya mevzuatta yer alan idari ve yasal engel hallerden birisi ile karşılaşılması halinde banka tek taraflı olarak işlemi iptal ederek erken kapama yapabilecektir.,C,2
57,X şubesinin vadeli mevduatının son günü 31.07.2025 olan A müşterisi ile yine aynı şubenin vadeli mevduatının son günü 01.08.2025 olan B müşterisinden kesilen stopajın Bankamızca ödenmesi gereken tarihleri aşağıdaki seçeneklerin hangisinde doğru olarak yer almamaktadır?,26 Ağustos 2025 – 26 Ağustos 2025,23 Ağustos 2025 – 23 Ağustos 2025,26 Ağustos 2025 – 26 Eylül 2025,26 Eylül 2025 – 26 Eylül 2025,31 Aralık 2025 – 31 Aralık 2025,B,1
58,"XYZ A.Ş., 1 yıl vadeli 4.000.000 TL tutarında bir işletme kredisi kullanmak istemektedir. Banka standart faiz oranı %47 iken, firma kredi faizinde %1 indirim talep etmektedir. Zorunlu karşılık oranı %10, fırsat maliyeti (alternatif yatırım getirisi) %42 olarak alınmaktadır. Bu bilgilere göre, bankanın faiz indirimini kabul etmesi (faiz indiriminden kaynaklı zarara uğramaması) için firmanın vadesiz hesabında yıllık ortalama en az kaç TL mevduat bulundurması gerekir?","85.106,38 TL","95.238,10 TL","105.820,11 TL","86.580,09 TL","94.562,65 TL",C,2
59,"KOBİ Yatırım - İşletme Paketi ile ilgili aşağıdakilerden hangisi/hangileri yanlıştır?
I. Yatırım kredisi kullanan müşterilerimize, işletme sermayesi ihtiyaçlarının karşılanması amacıyla yatırım kredi limitinin %10'una kadar ilave işletme kredisi de kullandırılabilmektedir. II. Krediler sadece TL cinsinden kullandırılabilicektir. III. Sektör fark etmeksizin, arsa ve bina yatırımları ancak makine yatırımı ile birlikte ve uyumlu olması halinde yatırım kredisine konu edebilecektir. IV. Kredi tutarı satıcı/alacaklı hesaplara aktarılana kadar müşterinin vadesiz hesabına sistem tarafından bloke konulacaktır.",I ve II,II ve III,Yalnız III,I ve IV,Yalnız IV,E,4
60,"KOSGEB Kapasite Geliştirme Kredisi ve KOSGEB Küresel Rekabetçilik Kredisinin yer aldığı kredi paketi ile ilgili aşağıdakilerden hangisi/hangileri doğrudur?
I. Asgari kullandırım tutarı sınırlaması bulunmamaktadır. II. KOSGEB gider kalemlerinden Makine Teçhizat ve Kalıp Gideri ile Yazılım Gideri kalemi dışındaki gider kalemleri için kredi tutarının müşterinin hesabından çıkışında harcama belgesi şartı aranmamaktadır. III. Kredi tutarları müşteri hesabına aktarılması akabinde vadeli mevduat olarak değerlendirilememektedir.",Yalnız I,I ve II,II ve III,Yalnız III,"I, II ve III",D,3
61,"TOBB Nefes Kredisi ile ilgili aşağıdakilerden hangisi yanlıştır?
I. Eczaneler, tarım kredi kooperatifleri, faktoring şirketleri ve mali müşavirler bu krediden faydalanamaz. II. Kredinin vadesi, azami 6 ay anapara ödemesiz dönem olmak üzere asgari 25 ay, azami 36 aydır. III. Firmaların kullanabileceği azami kredi limiti bütün illerimizde 2,5 Milyon TL'dir.",Yalnız I,I ve II,II ve III,Yalnız III,"I, II ve III",E,4
62,"Sır Niteliğindeki Bilgilerin Paylaşılması Hakkında Yönetmelik çerçevesinde aşağıdakilerden hangisi/hangileri doğrudur?
I. Sıfat ve görevleri dolayısıyla bankalara veya müşterilere ait sırları öğrenenler, söz konusu sırları bu konuda kanunen açıkça yetkili kılınan mercilerden başkasına açıklayamazlar. Bu yükümlülük görevden ayrıldıktan sonra da devam eder. II. Bankacılık faaliyetlerine özgü olarak bankalarla müşteri ilişkisi kurulduktan sonra oluşan gerçek ve tüzel kişilere ait veriler, müşteri sırrı hâline gelir. Bir gerçek veya tüzel kişi müşterinin, bankanın müşterisi olduğunu gösterir her türlü bilgi de müşteri sırrı kapsamındadır. (Örneğin IBAN bilgisi) III. Banka sırrı ya da müşteri sırrı niteliğindeki bilgilerin bu konuda kanunen açıkça yetkili kılınan merciler ile paylaşılması sır saklama yükümlülüğüne aykırılık teşkil etmez.1",Yalnız I,Yalnız II,I ve III,II ve III,"I, II ve III",E,4
63,Kesin Ödeme ürünü ile ilgili aşağıda verilen bilgilerden hangisi yanlıştır?,Alacaklı tarafından Kesin Ödeme tutarı vadesinden önce erken alma özelliği ile tahsil edilebilmektedir.,Kesin Ödeme Kredi kullandırım-ları yalnızca TL cinsinden gerçekleştirilebilecektir.,Kesin ödeme ürünü sadece kurumsal ve ticari segment müşteriler tarafından kullanılabilir.,Kesin ödeme ürünü kredili ve kredisiz seçenekleriyle kullanılabilir.,Kesin ödeme talimatı alacaklı tarafından 3. kişilere devredilebilir.,E,4
64,"Avantajlı Vadeli Hesap ile ilgili aşağıdakilerden hangisi/hangileri doğrudur?
I. Gerçek kişi müşterilere 32-364 gün aralığında vadeler ile açılabilmektedir. II. Vade süresi boyunca vadesiz hesaptan yapılan ödeme ve belirli harcamalar karşılığında ilave faiz kazanımı sağlanmaktadır. III. Para çekmeye kapalı, sadece harcama yapılabilen sınırlı hesaplardan yapılan işlemler, ilave faiz kazanımı için belirlenen harcama/ödeme tutarlarına dahil edilmemektedir. IV. Çekilen tutara faiz ödenmemesi kaydıyla hesap bakiyesinin %70'ine kadar para çekme işlemi yapılabilmektedir. V. Minimum 1.000 TL ve maksimum 5.000.000 TL bakiye ile açılabilmektedir.",Yalnız I,"I, II ve III",II ve IV,"II, III ve IV",IV ve V,B,1
65,"Dönüşüm Kredisi ile ilgili aşağıdakilerden hangisi/hangileri doğrudur?
I. Dönüşüm kredisinde azami kullandırım tutarı; taksitlendirilmek istenen BÇH anapara riski, BÇH biriken faiz ve komisyonu ile BÇH kredi masraflarının toplamıdır. II. TLREF endeksli kredide erken kapama komisyonu için fiyatlama alınabilmektedir. III. Dönüşüm Kredisi kullandırım-larının iptali bulunmamaktadır. IV. Kalan vadesi 24 aydan kısa kredide erken kapama komisyonu için fiyatlama alınamamaktadır.",I ve II,"I, II ve III",II ve III,Yalnız IV,II ve IV,E,4
66,"Aşağıdakilerden hangisi ""Kredi Riskinde Önemli Derecede Artış""ı en doğru şekilde tanımlar?",Rotatif kredilere uygulanan faiz oranlarının kontrolsüz bir şekilde yükselmesidir.,Yukarı yönlü kur hareketlerinin yabancı para kredilerin geri dönüş riskini arttırmasıdır.,"Uluslararası savaş vb. anlaşmazlıkların dış ticaret yapan firmaların işlem hacmini daraltması neticesinde, kredilerini geri ödeyemez hale gelmelerinin sonucudur.","Kuraklık, sel, don, salgın hastalık vb. doğal afetlerin tarımsal üretimi sekteye uğratması sonucu tarımsal kredilerin geri dönüş riskinin artmasıdır.",Müşterinin önümüzdeki bir yıl içerisinde temerrüde düşme olasılığının kredinin tahsis anına göre ciddi düzeyde artmış olmasıdır.,E,4
67,Firmalara yeniden ihtarname gönderilmesi esasları çerçevesinde; daha önceki ihtarname sonrasında kredilerin Tasfiye Olunacak Alacaklar hesaplarına aktarılmamış olması halinde aşağıda belirtilen hangi durum değişikliğinde yeniden ihtarname gönderilmeyebilir?,İlave kredi kullandırımı yapılması,İhtarname keşide edilmesinden sonra borçluya hesap ekstresi verilmiş olması,Kredilerin teminatında bulunan rehinli mal varlığı malikinde/maliklerinde değişiklik olması,İhtarname tarihinin üzerinden 6 aylık süre geçmiş olması,İlave teminat (kefil/rehin) alınması,E,4
68,"Çekteki muhatabın (Banka), kendisine ibraz edilen çekleri ödemesiyle ilgili aşağıdakilerden hangisi yanlıştır?","Çekin karşılığının hiç bulunmaması halinde, çek bedeli yasal garanti tutarına eşit veya üzerinde ise yasal garanti tutarını ödemek.","Çekin karşılığının hiç bulunmaması halinde, çek bedeli yasal garanti tutarının altında ise çek bedelini ödemek.","Çekin karşılığının kısmen bulunması halinde, çek bedeli yasal garanti tutarına eşit veya altında ise çek bedelini aşmamak koşuluyla, kısmi karşılığı yasal garanti tutarını tamamlayacak bir miktarını ödemek.","Çekin karşılığının kısmen bulunması halinde, çek bedeli yasal garanti tutarının üzerinde ise çek bedelini aşmamak koşuluyla, kısmi karşılığa ilave olarak yasal garanti tutarını ödemek.","Çekin karşılığının kısmen bulunması halinde, çek bedeli yasal garanti tutarına eşit veya altında ise çek bedelini aşmamak koşuluyla, yalnızca kısmi karşılığı ödemek.",E,4
69,"Yatırım Taahhütlü Avans Kredisi ile ilgili aşağıdakilerden hangisi/hangileri yanlıştır?
I. Bir firma birden fazla banka aracılığı ile Yatırım Taahhütlü Avans Kredisi kullanabilmektedir. II. Yatırım yapma taahhüdünü gerçekleştirmeyen firmaların kredi talepleri, taahhüdün gerçekleştirilmediğinin tespit edildiği ya da Merkez Bankasına bildirildiği tarihten itibaren 5 yıl süreyle kabul edilmemektedir. III. Yararlanılan indirim oranına ilişkin taahhütlerin yerine getirilmemesi halinde, kullanılan kredi tutarına kredi kullanım süresi boyunca bu hüküm dolayısıyla yararlanılmış olan indirim oranının 1,5 katı oranında yaptırım uygulanmaktadır. IV. Yatırım Taahhütlü Avans Kredisi azami 10 yıl vadeli olarak kullandırılabilmektedir.",Yalnız I,I ve II,"III, IV",Yalnız IV,"II, III ve IV",B,1
70,Aşağıdakilerden hangisi 2025 yılında dağıtım kanallarımızın maliyet yönünden büyükten küçüğe doğru sıralanmış halidir?,Şube > Çağrı Merkezi+İvr > Atm > Opim > İnternet Bankacılığı > Otomatik Ödeme,Çağrı Merkezi+İvr > Şube > Atm > İnternet Bankacılığı > Otomatik Ödeme > Opim,Şube > Çağrı Merkezi+İvr > Opim > Atm > İnternet Bankacılığı > Otomatik Ödeme,Atm > Şube > Çağrı Merkezi+İvr > Opim > Otomatik Ödeme > İnternet Bankacılığı,Şube > Çağrı Merkezi+İvr > Atm > Opim > Otomatik Ödeme > İnternet Bankacılığı,A,0
71,"Bireysel Bankkart kredi kartlarımız ile yapılan işlemlerde geçerli olan Faizsiz Sonradan Taksitlendirme uygulaması aşağıdaki sektörlerin hangilerinde faaliyeti gösteren üye işyerlerinde geçerlidir?
I. Kamu Ödemeleri II. Sağlık III. Eğitim IV. Turizm",I ve II,II ve III,III ve IV,"I, II ve III","I, II, III ve IV",B,1
72,"Yukarıdakilerden hangisi/hangileri 'Avantajlı Vadeli Hesap' ve 'Kesintisiz Vadeli Hesap' ürünlerimizin ortak özellikleri arasında yer alır?
I. 32-364 gün vade aralığında açılabilir. II. 100.000-10.000.000 TL arası bakiye ile açılabilir. III. Vadesiz hesap ve kredi kartı işlemleri ile ilave faiz kazandırır. IV. Vade arasında anaparanın %50'sine kadar çekilebilir.",Yalnız I,I ve IV,II ve IV,Yalnız III,II ve III,A,0
73,"Yatırım Kredisi Destek Paketi kapsamında aşağıdakilerden hangisi/hangileri doğrudur?
I. Yatırım kredisi kullanan müşterilerimize, işletme sermayesi ihtiyaçlarının karşılanması amacıyla yatırım kredi limitinin %10'una kadar ilave işletme kredisi de kullandırılabilmektedir. II. Turizm sektörü hariç olmak üzere, arsa ve bina yatırımları, ancak makine yatırımı ile birlikte ve uyumlu olması halinde yatırım kredisine konu edilebilmektedir. III. İşletme kredisi, ancak yatırım kredisinin Bankamızdan kullandırılmış olması halinde kullandırılabilicek olup yatırım kredilerine ilave olarak kullandırılacak işletme kredisi tutarının tamamı para yatırmaya, nakit çekime, para transferine kapalı olacak şekilde özel tasarlanmış Sınırlandırılmış Vadesiz Hesaba otomatik olarak aktarılmaktadır. IV. Paket kapsamında yatırım kredileri için azami 120 ay, işletme kredileri için azami 24 ay vade belirlenebilmektedir.",I ve II,Yalnız II,"I, II ve IV",Yalnız IV,"I, II, III ve IV",E,4
74,"Bir işletmeye ait bazı bilgiler aşağıdaki gibidir.
Stok Devir Süresi: 120 gün Ortalama Ticari Alacaklar: 1.000.000 TL Borç Ödeme Süresi: 130 gün Net Satışlar: 3.650.000 TL Bu bilgilere göre işletmenin Finansman Süresi kaç gündür?",90,100,110,120,130,A,0
75,"Sayım, Saklama ve Kasa işlemleri ile ilgili olarak aşağıdakilerden hangisi/hangileri doğrudur?
I. Arka ofis yönetiminden sorumlu personel (Operasyon Yetkilisi veya Şubede Operasyon Yetkilisi bulunmaması halinde Operasyon Asistanı) OSK'nın doğal üyesidir. II. Şubede OSK'nın arka ofis personelince oluşturulması esas olmakla birlikte, arka ofiste görevli personel sayısının yeterli olmadığı ya da Şube Yöneticisi tarafından yapılan değerlendirme doğrultusunda 3 kişilik komite ""Banka Asistanı"" ile tamamlanır. III. Şube/PGM/YBM'lerde kamera görüş açısından olmayan hiçbir noktada para sayım ve bulundurma işlemi yapılmaz. IV. İskonto, iştira, tahsil ve teminat senetleri gibi her türlü senet ile Banka lehine ciro veya keşide edilen çekler ana kasada saklanır.",Yalnız I,I ve III,"I, II ve III","II, III ve IV","I, II, III ve IV",D,3
76,"Köyümde Yaşamak İçin Bir Sürü Nedenim Var-Küçükbaş Hayvancılık Projesi kapsamında kullandırılabilicek kredilerle ilgili aşağıdakilerden hangisi doğrudur?
I. Bir üretici, Proje kapsamında yalnız bir kez kredi kullanabilmektedir. II. Üreticilere, Proje kapsamında kullandırılabilen toplam (yatırım ve işletme) kredi tutarı azami 1.200.000 TL'dir. III. Proje kapsamında kullandırılan yatırım kredilerinin azami vadesi 84 ay; işletme kredilerinin azami vadesi ise 18 aydır.",I ve II,Yalnız II,I ve III,Yalnız III,"I, II ve III",A,0
77,"KOBİ'nin Artısı Kredi Paketinden yararlanmak isteyen müşterilerimizle ilgili aşağıdakilerden hangisi/hangileri doğrudur?
I. Kredi paketinden yararlanacak tüm müşterilerimiz için son 3 aylık FDGG rasyosunun %1,30'dan büyük olması gerekmektedir. II. KOBİ müşterilerimizin en az 3, esnaf müşterilerimizin en az 2 adet aktif otomatik ödeme talimatı bulunması gerekmektedir. III. Paket kapsamındaki kredilerimiz fiyatlamalı olarak kullandırılacaktır. IV. Kredi paketinden yararlanacak tüm müşterilerimizin asgari 1 Milyon TL Bankkart limitinin bulunması gerekmektedir.",Yalnız I,II ve III,"I, II ve IV","I, II ve III","I, II, III ve IV",B,1
78,"Yukarıdakilerden hangisi/hangileri bireysel kredi işlemlerinde müşteriye veya üçüncü şahsa/tüzel kişiliğe ait, teminat olarak alınabilecek nakit veya nakit benzeri değerlerdir?
I. Eurobond II. Ziraat Portföy Borçlanma Araçları Fonu III. Ziraat Portföy Para Piyasası Fonu IV. Bireysel Emeklilik Sistemi (BES) Birikimi V. Gelire Endeksli Devlet İç Borçlanma Senedi",Yalnız III,I ve III,"I, II, III ve IV","I, II, III ve V","I, II, III, IV ve V",D,3

